player_name,player_real_name,birth,country,status,team_name,earnings,role,signature_hero
[e][h] ta1yo  ,Sean Taiyo Henderson,"April 12, 2000 (2000-04-12) (age 21)","Japan
United States",Active,San Francisco Shock,"$324,678",DPS,"Tracer
Genji
Ashe
Reaper
Widowmaker"
[e][h] TAROCOOK1E  ,Zhong Yunlong,NA,China,Active,Chengdu Hunters,"$55,630",DPS,"Widowmaker
Tracer
Ashe
McCree"
[e][h] Teru  ,Kim Min-ki,"December 15, 2002 (2002-12-15) (age 18)",South Korea,Active,Vancouver Titans,"$11,393",DPS,"Genji
Pharah
Echo
Doomfist
Mei"
[e][h] tobi  ,Yang Jin-mo,"February 26, 1994 (1994-02-26) (age 27)",South Korea,Active,Philadelphia Fusion,"$253,629",Support,"Lúcio
Mercy
Baptiste
Brigitte"
[e][h] Toyou  ,Lim Hyeon-woo,"June 27, 2001 (2001-06-27) (age 20)",South Korea,Active,Seoul Dynasty,"$135,865",Tank,"D.Va
Sigma
Zarya"
[e][h] Tsuna  ,Samir Ikram,"August 31, 2001 (2001-08-31) (age 20)",France,Active,NA,"$17,696",DPS,"Tracer
Zarya
Widowmaker"
[e][h] TTuba  ,Lee Ho-sung,"September 21, 1999 (1999-09-21) (age 22)",South Korea,Active,NA,"$64,925",DPS,"Pharah
Genji
Tracer
Doomfist
Sombra"
[e][h] Twilight  ,Lee Joo-seok,"February 8, 1998 (1998-02-08) (age 23)",South Korea,Active,San Francisco Shock,"$487,837",Support,"Ana
Zenyatta
Baptiste
Moira
Brigitte"
[e][h] Valentine  ,Kim Byeong-ju,"February 14, 2003 (2003-02-14) (age 18)",South Korea,Active,Boston Uprising,"$23,203",DPS,"Doomfist
Pharah
Genji
Echo
Mei"
[e][h] Vestola  ,Ilari Vestola,NA,Finland,Active,NA,"$12,381",Tank,"D.Va
Sigma"
[e][h] Viol2t  ,Park Min-ki,"April 17, 2000 (2000-04-17) (age 21)",South Korea,Active,San Francisco Shock,"$585,697",Support,"Zenyatta
Baptiste
Moira
Ana"
[e][h] Void  ,Kang Jun-woo,"October 2, 1996 (1996-10-02) (age 25)",South Korea,Active,Shanghai Dragons,"$511,008",Tank,"Sigma
D.Va
Zarya
Roadhog"
[e][h] WhoRU  ,Lee Seung-jun,"August 23, 2001 (2001-08-23) (age 20)",South Korea,Active,Shanghai Dragons,"$394,024",DPS,"Genji
Tracer
Doomfist
Pharah
Torbjörn"
[e][h] Wya  ,Qi Haomiao,"December 21, 2000 (2000-12-21) (age 20)",China,Active,Los Angeles Valiant,"$57,943",Support,"Ana
Zenyatta
D.Va
Zarya"
[e][h] Yaki  ,Kim Jun-ki,"June 11, 2001 (2001-06-11) (age 20)",South Korea,Active,Florida Mayhem,"$53,084",DPS,"Genji
Pharah
Tracer
Echo
Doomfist"
[e][h] Yakpung  ,Jo Gyeong-mu,"January 29, 2001 (2001-01-29) (age 20)",South Korea,Active,New York Excelsior,"$23,834",Tank,"Reinhardt
Winston
Wrecking Ball
Orisa"
[e][h] Yveltal  ,Li Xianyao,"September 29, 2000 (2000-09-29) (age 21)",China,Active,"Chengdu Hunters
Team Chaser","$68,185",Support,"Mercy
Lúcio
Zenyatta
Baptiste
Brigitte"
